[0;33mcurrent_time: 574200.0 TOC_Time: 571200 Speed(kts): 400.0[0m
Speed: 400.0   Track: null
Speed: 412.0334911194328   Track: 80.26343423523794
Speed: 410.129955326105   Track: 80.26343423523794
Speed: 408.19566774290115   Track: 80.26343423523794
Speed: 406.2306283698212   Track: 80.26343423523794
Speed: 404.23483720686517   Track: 80.26343423523794
Speed: 402.2082942540331   Track: 80.26343423523794
Speed: 400.150999511325   Track: 80.26343423523794
Speed: 398.06295297874084   Track: 80.26343423523794
Speed: 395.94415465628066   Track: 80.26343423523794
Speed: 393.79460454394433   Track: 80.26343423523794
Speed: 391.61430264173197   Track: 80.26343423523794
Speed: 389.40324894964357   Track: 80.26343423523794
Speed: 387.16144346767913   Track: 80.26343423523794
Speed: 384.88888619583867   Track: 80.26343423523794
Speed: 382.58557713412205   Track: 80.26343423523794
Speed: 380.2515162825295   Track: 80.26343423523794
Speed: 377.8867036410608   Track: 80.26343423523794
Speed: 375.49113920971604   Track: 80.26343423523794
Speed: 373.0648229884953   Track: 80.26343423523794
Speed: 370.60775497739843   Track: 80.26343423523794
Speed: 368.11993517642554   Track: 80.26343423523794
Speed: 365.6013635855766   Track: 80.26343423523794
Speed: 363.05204020485166   Track: 80.26343423523794
Speed: 360.47196503425056   Track: 80.26343423523794
Speed: 357.8611380737735   Track: 80.26343423523794
Speed: 355.21955932342024   Track: 80.26343423523794
Speed: 352.5472287831911   Track: 80.26343423523794
Speed: 349.8441464530858   Track: 80.26343423523794
Speed: 347.1103123331044   Track: 80.26343423523794
Speed: 344.3457264232471   Track: 80.26343423523794
Speed: 341.5503887235136   Track: 80.26343423523794
Speed: 338.72429923390405   Track: 80.26343423523794
Speed: 335.86745795441857   Track: 80.26343423523794
Speed: 332.97986488505694   Track: 80.26343423523794
Speed: 330.0615200258193   Track: 80.26343423523794
Speed: 327.1124233767055   Track: 80.26343423523794
Speed: 324.13257493771573   Track: 80.26343423523794
Speed: 321.1219747088499   Track: 80.26343423523794
Speed: 318.08062269010804   Track: 80.26343423523794
Speed: 315.0085188814901   Track: 80.26343423523794
Speed: 311.9056632829961   Track: 80.26343423523794
Speed: 308.772055894626   Track: 80.26343423523794
Speed: 305.6076967163799   Track: 80.26343423523794
Speed: 302.4125857482578   Track: 80.26343423523794
Speed: 299.1867229902595   Track: 80.26343423523794
Speed: 295.9301084423853   Track: 80.26343423523794
Speed: 292.6427421046349   Track: 80.26343423523794
Speed: 289.3246239770085   Track: 80.26343423523794
Speed: 285.975754059506   Track: 80.26343423523794
Speed: 282.5961323521276   Track: 80.26343423523794
Speed: 279.185758854873   Track: 80.26343423523794
Speed: 275.7446335677424   Track: 80.26343423523794
Speed: 272.2727564907357   Track: 80.26343423523794
Speed: 268.770127623853   Track: 80.26343423523794
Speed: 265.2367469670942   Track: 80.26343423523794
Speed: 261.6726145204594   Track: 80.26343423523794
Speed: 258.0777302839485   Track: 80.26343423523794
Speed: 254.45209425756155   Track: 80.26343423523794
Speed: 250.79570644129853   Track: 80.26343423523794
Speed: 247.1085668351595   Track: 80.26343423523794
Speed: 243.39067543914433   Track: 80.26343423523794
Speed: 239.6420322532532   Track: 80.26343423523794
Speed: 235.86263727748593   Track: 80.26343423523794
Speed: 232.0524905118427   Track: 80.26343423523794
Speed: 228.21159195632336   Track: 80.26343423523794
Speed: 224.33994161092795   Track: 80.26343423523794
Speed: 220.43753947565654   Track: 80.26343423523794
Speed: 216.50438555050903   Track: 80.26343423523794
Speed: 212.54047983548546   Track: 80.26343423523794
Speed: 208.5458223305859   Track: 80.26343423523794
Speed: 204.52041303581018   Track: 80.26343423523794
Speed: 200.46425195115842   Track: 80.26343423523794
Speed: 196.37733907663068   Track: 80.26343423523794
Speed: 192.25967441222684   Track: 80.26343423523794
Speed: 188.11125795794695   Track: 80.26343423523794
Speed: 183.93208971379102   Track: 80.26343423523794
Speed: 179.72216967975902   Track: 80.26343423523794
Speed: 175.481497855851   Track: 80.26343423523794
Speed: 171.21007424206687   Track: 80.26343423523794
Speed: 166.90789883840665   Track: 80.26343423523794
Speed: 162.57497164487046   Track: 80.26343423523794
Speed: 158.21129266145812   Track: 80.26343423523794
Speed: 153.81686188816985   Track: 80.26343423523794
Speed: 149.39167932500544   Track: 80.26343423523794
Speed: 144.935744971965   Track: 80.26343423523794
Speed: 140.44905882904857   Track: 80.26343423523794
Speed: 135.93162089625596   Track: 80.26343423523794
Speed: 131.38343117358733   Track: 80.26343423523794
Speed: 126.80448966104264   Track: 80.26343423523794
Speed: 122.19479635862191   Track: 80.26343423523794
Speed: 117.55435126632514   Track: 80.26343423523794
Speed: 112.8831543841523   Track: 80.26343423523794
Speed: 108.18120571210342   Track: 80.26343423523794
Speed: 103.4485052501785   Track: 80.26343423523794
Speed: 98.68505299837753   Track: 80.26343423523794
Speed: 93.89084895670047   Track: 80.26343423523794
Speed: 89.06589312514728   Track: 80.26343423523794
Speed: 84.21018550371818   Track: 80.26343423523794
Speed: 79.32372609241293   Track: 80.26343423523794
Speed: 74.4065148912317   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
Speed: 70.0   Track: 80.26343423523794
