[0;33mcurrent_time: 574200.0 TOC_Time: 571200 Speed(kts): 400.0[0m
Speed: 400.0   Track: null
Speed: 372.3711876005333   Track: 80.26343423523794
Speed: 371.4638976093785   Track: 80.26343423523794
Speed: 370.54195026780116   Track: 80.26343423523794
Speed: 369.60534557580127   Track: 80.26343423523794
Speed: 368.65408353337887   Track: 80.26343423523794
Speed: 367.68816414053396   Track: 80.26343423523794
Speed: 366.7075873972665   Track: 80.26343423523794
Speed: 365.7123533035765   Track: 80.26343423523794
Speed: 364.70246185946394   Track: 80.26343423523794
Speed: 363.6779130649288   Track: 80.26343423523794
Speed: 362.63870691997124   Track: 80.26343423523794
Speed: 361.5848434245911   Track: 80.26343423523794
Speed: 360.5163225787884   Track: 80.26343423523794
Speed: 359.4331443825632   Track: 80.26343423523794
Speed: 358.3353088359155   Track: 80.26343423523794
Speed: 357.2228159388452   Track: 80.26343423523794
Speed: 356.0956656913524   Track: 80.26343423523794
Speed: 354.9538580934371   Track: 80.26343423523794
Speed: 353.7973931450992   Track: 80.26343423523794
Speed: 352.6262708463388   Track: 80.26343423523794
Speed: 351.44049119715584   Track: 80.26343423523794
Speed: 350.24005419755036   Track: 80.26343423523794
Speed: 349.0249598475224   Track: 80.26343423523794
Speed: 347.79520814707183   Track: 80.26343423523794
Speed: 346.5507990961987   Track: 80.26343423523794
Speed: 345.2917326949032   Track: 80.26343423523794
Speed: 344.018008943185   Track: 80.26343423523794
Speed: 342.72962784104436   Track: 80.26343423523794
Speed: 341.42658938848115   Track: 80.26343423523794
Speed: 340.10889358549537   Track: 80.26343423523794
Speed: 338.77654043208713   Track: 80.26343423523794
Speed: 337.42952992825633   Track: 80.26343423523794
Speed: 336.06786207400296   Track: 80.26343423523794
Speed: 334.69153686932714   Track: 80.26343423523794
Speed: 333.3005543142287   Track: 80.26343423523794
Speed: 331.8949144087078   Track: 80.26343423523794
Speed: 330.47461715276427   Track: 80.26343423523794
Speed: 329.0396625463983   Track: 80.26343423523794
Speed: 327.59005058960975   Track: 80.26343423523794
Speed: 326.1257812823987   Track: 80.26343423523794
Speed: 324.64685462476507   Track: 80.26343423523794
Speed: 323.15327061670894   Track: 80.26343423523794
Speed: 321.6450292582303   Track: 80.26343423523794
Speed: 320.1221305493291   Track: 80.26343423523794
Speed: 318.58457449000537   Track: 80.26343423523794
Speed: 317.0323610802591   Track: 80.26343423523794
Speed: 315.4654903200903   Track: 80.26343423523794
Speed: 313.8839622094989   Track: 80.26343423523794
Speed: 312.28777674848504   Track: 80.26343423523794
Speed: 310.67693393704866   Track: 80.26343423523794
Speed: 309.0514337751897   Track: 80.26343423523794
Speed: 307.41127626290825   Track: 80.26343423523794
Speed: 305.7564614002042   Track: 80.26343423523794
Speed: 304.08698918707773   Track: 80.26343423523794
Speed: 302.4028596235287   Track: 80.26343423523794
Speed: 300.70407270955707   Track: 80.26343423523794
Speed: 298.9906284451629   Track: 80.26343423523794
Speed: 297.26252683034625   Track: 80.26343423523794
Speed: 295.51976786510704   Track: 80.26343423523794
Speed: 293.7623515494453   Track: 80.26343423523794
Speed: 291.99027788336105   Track: 80.26343423523794
Speed: 290.20354686685425   Track: 80.26343423523794
Speed: 288.4021584999249   Track: 80.26343423523794
Speed: 286.586112782573   Track: 80.26343423523794
Speed: 284.7554097147986   Track: 80.26343423523794
Speed: 282.9100492966017   Track: 80.26343423523794
Speed: 281.05003152798224   Track: 80.26343423523794
Speed: 279.1753564089403   Track: 80.26343423523794
Speed: 277.2860239394757   Track: 80.26343423523794
Speed: 275.38203411958864   Track: 80.26343423523794
Speed: 273.463386949279   Track: 80.26343423523794
Speed: 271.5300824285469   Track: 80.26343423523794
Speed: 269.5821205573922   Track: 80.26343423523794
Speed: 267.619501335815   Track: 80.26343423523794
Speed: 265.6422247638153   Track: 80.26343423523794
Speed: 263.65029084139303   Track: 80.26343423523794
Speed: 261.6436995685482   Track: 80.26343423523794
Speed: 259.6224509452809   Track: 80.26343423523794
Speed: 257.586544971591   Track: 80.26343423523794
Speed: 255.53598164747862   Track: 80.26343423523794
Speed: 253.4707609729437   Track: 80.26343423523794
Speed: 251.39088294798623   Track: 80.26343423523794
Speed: 249.29634757260624   Track: 80.26343423523794
Speed: 247.1871548468037   Track: 80.26343423523794
Speed: 245.0633047705786   Track: 80.26343423523794
Speed: 242.92479734393106   Track: 80.26343423523794
Speed: 240.7716325668609   Track: 80.26343423523794
Speed: 238.60381043936823   Track: 80.26343423523794
Speed: 236.42133096145307   Track: 80.26343423523794
Speed: 234.2241941331153   Track: 80.26343423523794
Speed: 232.01239995435503   Track: 80.26343423523794
Speed: 229.78594842517225   Track: 80.26343423523794
Speed: 227.5448395455669   Track: 80.26343423523794
Speed: 225.28907331553907   Track: 80.26343423523794
Speed: 223.01864973508864   Track: 80.26343423523794
Speed: 220.73356880421568   Track: 80.26343423523794
Speed: 218.43383052292023   Track: 80.26343423523794
Speed: 216.11943489120225   Track: 80.26343423523794
Speed: 213.79038190906172   Track: 80.26343423523794
Speed: 211.44667157649866   Track: 80.26343423523794
Speed: 209.08830389351306   Track: 80.26343423523794
Speed: 206.71527886010492   Track: 80.26343423523794
Speed: 204.32759647627427   Track: 80.26343423523794
Speed: 201.92525674202105   Track: 80.26343423523794
Speed: 199.50825965734535   Track: 80.26343423523794
Speed: 197.07660522224708   Track: 80.26343423523794
Speed: 194.63029343672628   Track: 80.26343423523794
Speed: 192.1693243007829   Track: 80.26343423523794
Speed: 189.69369781441708   Track: 80.26343423523794
Speed: 187.20341397762866   Track: 80.26343423523794
Speed: 184.69847279041778   Track: 80.26343423523794
Speed: 182.1788742527843   Track: 80.26343423523794
Speed: 179.64461836472833   Track: 80.26343423523794
Speed: 177.09570512624978   Track: 80.26343423523794
Speed: 174.53213453734872   Track: 80.26343423523794
Speed: 171.9539065980251   Track: 80.26343423523794
Speed: 169.361021308279   Track: 80.26343423523794
Speed: 166.75347866811032   Track: 80.26343423523794
Speed: 164.13127867751916   Track: 80.26343423523794
Speed: 161.49442133650538   Track: 80.26343423523794
Speed: 158.84290664506915   Track: 80.26343423523794
Speed: 156.17673460321035   Track: 80.26343423523794
Speed: 153.495905210929   Track: 80.26343423523794
Speed: 150.80041846822513   Track: 80.26343423523794
Speed: 148.0902743750987   Track: 80.26343423523794
Speed: 145.36547293154985   Track: 80.26343423523794
Speed: 142.62601413757835   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 140.0   Track: 80.26343423523794
Speed: 0.0   Track: 80.26343423523794
